76,SANJAY SETH,Bharatiya Janata Party,658975,5757,664732,S278
77,YASHASWINI SAHAY,Indian National Congress,537646,6574,544220,S278
78,DEVENDRA NATH MAHTO,Independent,130526,2121,132647,S278
79,SOMA SINGH,Jai Maha Bharath Party,10340,1,10341,S278
80,NIPU SINGH,Rashtriya Jansangharsh Swaraj Party,7793,10,7803,S278
81,DHANANJAY BHAGAT “GANDHI“,Mera Adhikaar Rashtriya Dal,6784,15,6799,S278
82,SHYAM  BIHARI PRAJAPATI,Bhagidari Party(P),6524,6,6530,S278
83,MANOJ KUMAR,Bahujan Samaj Party,6383,44,6427,S278
84,RAMHARI GOPE,Ambedkarite Party of India,6304,5,6309,S278
85,ANJANI PANDEY,Independent,5386,11,5397,S278
86,SARWESHWARI SAHU,Ekam Sanatan Bharat Dal,4794,8,4802,S278
87,HARINATH SAHU,Lokhit Adhikar Party,4120,16,4136,S278
88,HEMNTI DEVI,Samata Party,4069,11,4080,S278
89,RANJANA GIRI,Republican Party of India (A),3206,2,3208,S278
90,BIRENDRA NATH MANJHI,Abua Jharkhand Party,3130,25,3155,S278
91,DHARMENDRA TIWARY,Bhartiya Jantantra Morcha,3072,22,3094,S278
92,PRAWEEN KACHHAP,Sampoorna Bharat Kranti Party,2870,74,2944,S278
93,PRABEEN CHANDRA MAHATO,Independent,2852,7,2859,S278
94,SANTOSH KUMAR JAISWAL,Independent,2782,5,2787,S278
95,PANKAJ KUMAR RAVI,Peoples Party of India (Democratic),2756,7,2763,S278
96,MANORANJAN BHATTACHARYA,Independent,2537,2,2539,S278
97,AINUL ANSARI,Independent,2533,4,2537,S278
98,BINOD ORAON,Bahujan Mukti Party,2523,66,2589,S278
99,MINTU PASWAN,Socialist Unity Centre Of India (COMMUNIST),2151,13,2164,S278
100,KOLESHWAR MAHTO,Independent,1702,6,1708,S278
101,KAMESHWAR PRASAD SAW,Independent,1644,2,1646,S278
102,ARSHAD AYUB,Independent,1411,1,1412,S278
103,NOTA,None of the Above,8046,107,8153,S278
104,KANWAR SINGH TANWAR,Bharatiya Janata Party,475210,1296,476506,S249
105,KUNWAR DANISH ALI,Indian National Congress,447343,493,447836,S249
106,MUJAHID HUSAIN,Bahujan Samaj Party,163885,214,164099,S249
107,DHANISH,Independent,3615,2,3617,S249
108,SURESH,Independent,2716,1,2717,S249
109,JEETPAL RANA,Independent,2550,6,2556,S249
110,SUHEL HAIDER,Akhil Bhartiya Parivar Party,2492,12,2504,S249
111,NARENDRA SINGH,Independent,1776,3,1779,S249
112,NAEEMUDDIN,Independent,1002,2,1004,S249
113,KUSHAGRA,Independent,856,2,858,S249
114,KASHIF HUSAIN,Independent,677,2,679,S249
115,KUMDESH KUMAR,Independent,627,8,635,S249
116,NOTA,None of the Above,5886,14,5900,S249
117,RADHESHYAM RATHIYA,Bharatiya Janata Party,806667,1608,808275,S262
118,DR. MENKA DEVI SINGH,Indian National Congress,566487,1397,567884,S262
119,INNOCENT KUJUR - BIDANA ORAON,Bahujan Samaj Party,15493,107,15600,S262
120,ALBERT MING,Hamar Raj Party,10915,44,10959,S262
121,PRAKASH KUMAR URANW,Independent,7719,3,7722,S262
122,RUPNARAYAN EKKA,Independent,7410,10,7420,S262
123,GOWARDHAN RATHIA,Independent,4591,2,4593,S262
124,POOJA SIDAR,Independent,4159,8,4167,S262
125,MADAN PRASAD GOND,Gondvana Gantantra Party,3007,8,3015,S262
126,GULESHWAR PAINKRA,Bhartiya Shakti Chetna Party,2618,8,2626,S262
127,UDAY KUMAR RATHIA,Independent,2127,2,2129,S262
128,ABHAY KUMAR EKKA,Independent,1808,17,1825,S262
129,BADAL EKKA,Sarv Adi Dal,1714,14,1728,S262
130,NOTA,None of the Above,14993,29,15022,S262
131,KHALILUR RAHAMAN,All India Trinamool Congress,543449,978,544427,S259
132,MURTOJA HOSSAIN BOKUL,Indian National Congress,427105,685,427790,S259
133,DHANANJAY GHOSH,Bharatiya Janata Party,339868,946,340814,S259
134,REJAUL MONDAL,Independent,7500,0,7500,S259
135,SAJAHAN BISWAS,All India Secular Front,6847,11,6858,S259
136,MUKTIPADA KONAI,Independent,5670,1,5671,S259
137,ASHISH BHUIMALI,Independent,3949,2,3951,S259
138,MD SARWARUL ISLAM SARKAR,Bahujan Samaj Party,3511,4,3515,S259
139,MD SAHABUDDIN,Social Democratic Party Of India,3489,7,3496,S259
140,SAMIRUDDIN,Socialist Unity Centre Of India (COMMUNIST),1946,4,1950,S259
141,PARIMAL GHOSH,Independent,1928,3,1931,S259
142,SANUAR ALI,Bharatheeya Jawan Kisan Party,1698,2,1700,S259
143,RAJIB CHATTERJEE,Bhartiya Lokmat Rashtrwadi Party,1527,5,1532,S259
144,MD ASADUL BISWAS,Independent,1340,0,1340,S259
145,NOTA,None of the Above,17135,23,17158,S259
146,SHOBHA KARANDLAJE,Bharatiya Janata Party,982805,3244,986049,S1024
147,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,725190,1383,726573,S1024
148,GOVINDAIAH,Bahujan Samaj Party,4614,17,4631,S1024
149,SANTHOSH M,Uttama Prajaakeeya Party,3450,11,3461,S1024
150,UDAYA SHANKAR.G,Prahar Janshakti Party,2676,2,2678,S1024
151,LAKSHMI SRIHARI.J.N.,Independent,2091,3,2094,S1024
152,DILIP KUMAR I.S.,Independent,1896,7,1903,S1024
153,K.M.MAHADEVA,Independent,1716,4,1720,S1024
154,K.V.NANJUNDASWAMY,Independent,1363,2,1365,S1024
155,SHOBHA,Independent,1272,8,1280,S1024
156,Y.R.KALLESHWARI,Samajwadi Janata Party(Karnataka),1072,5,1077,S1024
157,NIRMALA H.L,Socialist Unity Centre Of India (COMMUNIST),972,5,977,S1024
158,H.R.NATARAJ,Independent,857,4,861,S1024
159,BHASKAR ANKALAMADUGU SHIVAREDDY,Independent,831,0,831,S1024
160,SHIVAKUMAR. B,Karnataka Rashtra Samithi,813,4,817,S1024
161,SUDHA.  V,Independent,650,7,657,S1024
162,KRISHNAIAH,Rashtriya Samaj Dal (R),556,3,559,S1024
163,HEBBAL VENKATESH.J,Republican Party of India (A),422,3,425,S1024
164,"GLOBE STAR J. JAI SIMHA VARMA, B E.",Gareeb Aadmi Party,356,3,359,S1024
165,SHOBAN BABU  V,Indian Labour Party (Ambedkar Phule),315,5,320,S1024
166,PARASAPPA BHEEMAPPA GAJJERI,Rani Chennamma Party,313,0,313,S1024
167,NOTA,None of the Above,13499,55,13554,S1024
168,SALENG A SANGMA,Indian National Congress,382058,1861,383919,S152
169,AGATHA K SANGMA,National People's Party,227210,1468,228678,S152
170,ZENITH M SANGMA,All India Trinamool Congress,48518,191,48709,S152
171,LABENN CH MARAK,Independent,6846,64,6910,S152
172,NOTA,None of the Above,5809,31,5840,S152
173,SAJDA AHMED,All India Trinamool Congress,722586,2036,724622,S2526
174,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,504611,1338,505949,S2526
175,AZAHAR MOLLICK,Indian National Congress,78304,285,78589,S2526
176,MOFIKUL ISLAM,All India Secular Front,38971,20,38991,S2526
177,ARIT KARAK,Independent,7287,5,7292,S2526
178,AMAL KUMAR DEYATI,Bharatiya Nyay-Adhikar Raksha Party,5445,6,5451,S2526
179,RAMESH KHANRA,Independent,5094,10,5104,S2526
180,BIMALESH KUMAR HELA,Bahujan Samaj Party,4867,8,4875,S2526
181,SK. SAPIYAR ALI,Independent,2924,0,2924,S2526
182,NIKHIL BERA,Socialist Unity Centre Of India (COMMUNIST),2095,12,2107,S2526
183,AMAL KUMAR BARMAN,Independent,1997,3,2000,S2526
184,RAMPRASAD GHORAI,Indian Unity Centre,1568,4,1572,S2526
185,NOTA,None of the Above,11263,55,11318,S2526
186,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,793432,2431,795863,S1224
187,KANTILAL BHURIA,Indian National Congress,586904,1727,588631,S1224
188,ENGINEER BALUSINGH GAMAD,Bharat Adivasi Party,52525,234,52759,S1224
189,RAMCHANDRA SOLANKI,Bahujan Samaj Party,15159,13,15172,S1224
190,SURAJ BHABHAR,Independent,10060,2,10062,S1224
191,RANGLA KALESH,Independent,7331,4,7335,S1224
192,KASNA RANA PARGI,Independent,7311,5,7316,S1224
193,SUMITRA MEDA,Independent,6927,3,6930,S1224
194,RAMESHWAR SINGAR,Independent,4603,4,4607,S1224
195,MOHANSINGH NINGWAL,Bhartiya Samajik Party,4503,4,4507,S1224
196,SHEETAL BARELA,Akhand Bharat Samrajya Party,3929,1,3930,S1224
197,UDESINGH MACHAR,Republican Party of India (A),3795,1,3796,S1224
198,NOTA,None of the Above,31697,38,31735,S1224
199,G. KISHAN REDDY,Bharatiya Janata Party,468311,4701,473012,S298
200,DANAM NAGENDER,Indian National Congress,420220,2848,423068,S298
201,PADMA RAO . T,Bharat Rashtra Samithi,128680,906,129586,S298
202,DR.  BASWANANDAM DANDEPU,Bahujan Samaj Party,2248,20,2268,S298
203,SARARAPU SRISAILAM,Telangana Rajya Samithi,1726,1,1727,S298
204,SAPAVAT SUMAN,Independent,996,0,996,S298
205,R.S.J. THOMAS,Jai Swaraj Party,971,3,974,S298
206,RAASALA VINOD KUMAR,Dharma Samaj Party,820,6,826,S298
207,KOLISETTY SHIVA KUMAR,Yuga Thulasi Party,678,1,679,S298
208,MACHCHERLA VENKATA REDDY,Independent,672,1,673,S298
209,MOHAMMED AKRAM ALI KHAN,Independent,596,1,597,S298
210,MOHAMMED RAFIUDDIN KALEEM,All India Majlis-E-Inquilab-E-Millat,478,6,484,S298
211,LUNAVATH HARI RAM,Independent,474,0,474,S298
212,BOGGULA SUNIITHHA,Independent,417,1,418,S298
213,MOHAMMED AYUB ALI,Anna YSR Congress Party,406,4,410,S298
214,MOHAMMED FASI UDDIN,Independent,341,1,342,S298
215,PULIMAMIDI VENKATESH GUPTA,Independent,340,0,340,S298
216,IBRAHIM KHAN,Independent,315,5,320,S298
217,ANDRAPU SUDARSHAN,Independent,312,3,315,S298
218,JUNAID ANAM SIDDIQUI,Independent,294,1,295,S298
219,KRANTHI KUMAR BANDELA,Indian National Yuva Jana Party,283,2,285,S298
220,DR. R. GANGADHAR,Socialist Unity Centre Of India (COMMUNIST),280,1,281,S298
221,UTTAM PRAVEEN KUMAR,Independent,273,1,274,S298
222,GOWLIKAR SONY,Social Justice Party of India,269,3,272,S298
223,BATHULA RAVI,Independent,252,0,252,S298
224,P C LINGANNA,Independent,243,0,243,S298
225,MOHAMMED IBRAHIM AHMED,Independent,240,2,242,S298
226,SANGALA FLORY,Independent,223,0,223,S298
227,MOHAMMED ABDUL AZEEM,Independent,220,1,221,S298
228,GANESH BHARGAVI GUNDE,Jai Bharat National Party,220,3,223,S298
229,V. K. VIJAYA LAKSHMI,Independent,213,3,216,S298
230,CHEEKATI BHUPAL GOUD,All India Backward People Sunami Party,209,1,210,S298
231,BOMMAKANTI SOWMYA,Pyramid Party of India,201,4,205,S298
232,KRUPAVARAM GANDU,Independent,159,2,161,S298
233,PAMPARI NARENDER,Independent,143,0,143,S298
234,SYED KHADER,Independent,132,1,133,S298
235,B . SUNITHA RANI,Socialist Party (India),130,3,133,S298
236,CHALIKA CHANDRA SEKHAR,Independent,129,0,129,S298
237,PAGIDIPALLI SHYAMSON,Viduthalai Chiruthaigal Katchi,126,4,130,S298
238,REDDYMALLA PARVATHI,Independent,126,1,127,S298
239,VELAMARTHI. RAVI KIRAN,Independent,123,1,124,S298
240,K. MURALI KRISHNA,Independent,120,0,120,S298
241,DEVENDAR KONNE,Independent,117,0,117,S298
242,KONDOJU MOHAN,Independent,113,1,114,S298
243,MD KHALEEL UZ ZAMA,Independent,110,1,111,S298
244,NOTA,None of the Above,5092,74,5166,S298
245,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,750323,4199,754522,S1347
246,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,597014,2544,599558,S1347
247,SANJAY BHIKAJI MAGADE,Bahujan Samaj Party,3946,56,4002,S1347
248,MUSHTAK AJIJ MULLA,Independent,3822,2,3824,S1347
249,MADHURI RAJU JADHAV,Independent,3503,5,3508,S1347
250,KHADE BAJIRAO NANASO,Independent,3497,15,3512,S1347
251,KRUSHNABAI DIPAK CHOUGALE,Independent,3045,18,3063,S1347
252,KOGALE SANDEEP BHAIRAVNATH,Desh Janhit Party,2952,23,2975,S1347
253,ADV. YASH SUHAS HEGDEPATIL,Independent,2457,2,2459,S1347
254,NAGNATH PUNDALIK BENAKE,Independent,1215,12,1227,S1347
255,RAJANDARA BALASO KOLI,Independent,1029,15,1044,S1347
256,B. T. PATIL (EX SERVICEMAN),Bharatheeya Jawan Kisan Party,1011,96,1107,S1347
257,SUBHASH VAIJU DESAI,Independent,847,2,849,S1347
258,MANGESH JAYSINGH PATIL,Independent,647,6,653,S1347
259,SHASHIBHUSHAN JEEVANRAO DESAI,Akhil Bharat Hindu Mahasabha,636,15,651,S1347
260,SANTOSH GANPATI BISURE,Apni Prajahit Party,635,4,639,S1347
261,DR. SUNIL NAMDEV PATIL,National Black Panther Party,626,7,633,S1347
262,KRUSHNA HANMANT DESAI,Independent,602,2,604,S1347
263,IRFAN ABUTALIB CHAND,Independent,595,2,597,S1347
264,MANE ARVIND BHIVA,Bhartiya Rashtriya Dal,558,12,570,S1347
265,SANDEEP GUNDOPANT SANKPAL,Independent,541,3,544,S1347
266,KUDARTULLA ADAM LATIF,Independent,465,2,467,S1347
267,SALIM NURMUHAMAD BAGWAN,Independent,334,1,335,S1347
268,NOTA,None of the Above,5932,51,5983,S1347
269,RAMPRIT MANDAL,Janata Dal  (United),532138,894,533032,S047
270,SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,347989,874,348863,S047
271,GULAB YADAV,Bahujan Samaj Party,73532,352,73884,S047
272,RAM PRASAD RAUT,Independent,25993,17,26010,S047
273,GANGA PRASAD YADAV,Independent,18064,10,18074,S047
274,GAURI SHANKAR SAHU,Independent,14307,18,14325,S047
275,RAJIV KUMAR JHA,Independent,12488,25,12513,S047
276,BABLU KUMAR,Aadarsh Mithila Party,11638,35,11673,S047
277,VIDYA NAND RAM,Wazib Adhikar Party,10843,19,10862,S047
278,VIJAY KUMAR MANDAL,Socialist Unity Centre Of India (COMMUNIST),8556,21,8577,S047
279,NOTA,None of the Above,35846,82,35928,S047
280,BAIJAYANT PANDA,Bharatiya Janata Party,612916,2789,615705,S1815
281,ANSHUMAN MOHANTY,Biju Janata Dal,547681,1488,549169,S1815
282,SIDHARTH SWARUP DASH,Indian National Congress,94595,237,94832,S1815
283,SOUBHAGYA KETAN SAMAL,Socialist Unity Centre Of India (COMMUNIST),3393,2,3395,S1815
284,SEKHA SADIKA HOSEN,Bahujan Samaj Party,1845,7,1852,S1815
285,SUPRAVA DAS,Akhil Bhartiya Parivar Party,1559,2,1561,S1815
286,SRIRAM PANDEY,Independent,1397,2,1399,S1815
287,SANTOSH KUMAR PATRA,Independent,1370,3,1373,S1815
288,PRATAP CHANDRA MOHANTY,Independent,1088,7,1095,S1815
289,PRANGYAN PRAKASH MOHAPATRA,Odisha Janata Party,910,2,912,S1815
290,NOTA,None of the Above,5807,8,5815,S1815
291,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,785747,2628,788375,S251
292,NISITH PRAMANIK,Bharatiya Janata Party,745144,3981,749125,S251
293,NITISH CHANDRA ROY,All India Forward Bloc,29992,275,30267,S251
294,PIYA ROY CHOWDHURY,Indian National Congress,10539,140,10679,S251
295,HAREKRISHNA SARKAR,Independent,9462,5,9467,S251
296,KAMALESH BARMAN,Independent,2972,21,2993,S251
297,NABI BARMAN,Independent,2710,14,2724,S251
298,SUBODH BARMAN,Independent,2594,5,2599,S251
299,DILIP CHANDRA BARMAN,Socialist Unity Centre Of India (COMMUNIST),2449,19,2468,S251
300,PURNA MOHAN ROY,Bahujan Samaj Party,2087,10,2097,S251
301,BIDHAN DAS,Independent,2067,5,2072,S251
302,KISHORE RAY,Independent,1588,18,1606,S251
303,PRADIP KUMAR ROY,Kamatapur People’s Party (United),1499,19,1518,S251
304,AMAL DAS,Independent,1488,7,1495,S251
305,NOTA,None of the Above,15510,53,15563,S251
306,KADIYAM KAVYA,Indian National Congress,575566,5728,581294,S2915
307,AROORI RAMESH,Bharatiya Janata Party,355875,5080,360955,S2915
308,Dr. MARAPALLY SUDHEER KUMAR,Bharat Rashtra Samithi,230820,1213,232033,S2915
309,AMBOJU BUDDAIAH,Alliance of Democratic Reforms Party,11103,12,11115,S2915
310,KALPANA PANJA,Bahujan Samaj Party,9230,97,9327,S2915
311,KONGARA ANIL KUMAR,Independent,6259,0,6259,S2915
312,ANIL KUMAR GADEPAKA,Independent,4482,4,4486,S2915
313,BUNGA JYOTHI RAMANA,Aihra National Party,4262,3,4265,S2915
